[2026-04-13T18:22:42.246Z] GET http://localhost:8766/s2-certainty.html → 200 (6ms, 38631B)
[2026-04-13T18:22:42.270Z] GET http://localhost:8766/data/s2-radar.json?t=1776104562264 → 200 (17ms, 3639B)
[2026-04-13T18:22:42.290Z] GET http://localhost:8766/data/weekly-latest.json?t=1776104562289 → 200 (1ms, 9550B)
[2026-04-13T18:23:18.948Z] GET http://localhost:8766/index.html → 200 (4ms, 36905B)
[2026-04-13T18:23:18.955Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Noto+Serif+SC:wght@400;600;700&family=JetBrains+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-04-13T18:23:20.102Z] GET http://localhost:8766/data/s2-radar.json?t=1776104600095 → 200 (35ms, 3639B)
[2026-04-13T18:23:20.102Z] GET http://localhost:8766/data/hot-keywords.json?t=1776104600096 → 200 (35ms, 14859B)
[2026-04-13T18:23:20.133Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.133Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.115.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.135Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.117.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.135Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.135Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.116.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.135Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.118.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.119.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7kqGWbhppHtk.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.112.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.90.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.113.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.111.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.101.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.108.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.102.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:20.136Z] GET https://fonts.gstatic.com/s/notoserifsc/v35/H4chBXePl9DZ0Xe7gG9cyOj7oqOcaThrVMcaeccjhXXDsOyAEEmuIi6j7j64sLjgBtMI1z49XW4.110.woff2 → pending (?ms, ?B)
[2026-04-13T18:23:46.918Z] GET http://localhost:8766/s2-certainty.html → 200 (2ms, 38631B)
[2026-04-13T18:23:46.922Z] GET http://localhost:8766/data/s2-radar.json?t=1776104626922 → 200 (2ms, 3639B)
[2026-04-13T18:23:46.924Z] GET http://localhost:8766/data/weekly-latest.json?t=1776104626923 → 200 (1ms, 9550B)
[2026-04-13T18:33:32.306Z] GET https://tools.basealpha.ai/og-image.png → pending (?ms, ?B)
[2026-04-13T18:38:56.787Z] GET https://tools.basealpha.ai/s2-certainty.html → 200 (341ms, 39135B)
[2026-04-13T18:38:57.149Z] GET https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516 → pending (?ms, ?B)
[2026-04-13T18:38:57.155Z] GET https://tools.basealpha.ai/data/s2-radar.json?t=1776105537151 → pending (?ms, ?B)
[2026-04-13T18:38:57.403Z] POST https://tools.basealpha.ai/cdn-cgi/rum? → 204 (248ms, ?B)
[2026-04-13T18:38:57.468Z] GET https://tools.basealpha.ai/data/weekly-latest.json?t=1776105537468 → 200 (308ms, 9550B)
[2026-04-13T18:45:07.581Z] GET https://tools.basealpha.ai/MP_verify_8k8IdqJZHaUyo78H.txt → pending (?ms, ?B)
[2026-04-13T18:45:08.192Z] POST https://tools.basealpha.ai/cdn-cgi/rum? → pending (?ms, ?B)
[2026-04-13T18:45:08.199Z] GET https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516 → pending (?ms, ?B)
[2026-04-13T18:46:13.626Z] GET https://tools.basealpha.ai/MP_verify_8k8IdqJZHaUyo78H.txt → pending (?ms, ?B)
[2026-04-13T19:07:42.214Z] GET https://tools.basealpha.ai/s2-certainty.html → 200 (501ms, 40418B)
[2026-04-13T19:07:42.727Z] GET https://res.wx.qq.com/open/js/jweixin-1.6.0.js → 200 (41ms, 12938B)
[2026-04-13T19:07:42.727Z] GET https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516 → 200 (2ms, 31169B)
[2026-04-13T19:07:42.770Z] GET https://tools.basealpha.ai/data/s2-radar.json?t=1776107262769 → pending (?ms, ?B)
[2026-04-13T19:07:42.771Z] GET https://tools.basealpha.ai/api/wx-config?url=https%3A%2F%2Ftools.basealpha.ai%2Fs2-certainty.html → pending (?ms, ?B)
[2026-04-13T19:07:42.774Z] POST https://tools.basealpha.ai/cdn-cgi/rum? → pending (?ms, ?B)
[2026-04-13T19:07:43.094Z] GET https://tools.basealpha.ai/data/weekly-latest.json?t=1776107263093 → 200 (309ms, 9550B)
